"","...1","fundamentalismo","desconfia","E179WVS","partido","proMERCADO"
"343",874,0.601262756817597,0.438031222703365,152002,"RN",0.444444444444444
"344",875,0.515939705304549,0.117924875536435,152002,"RN",0.333333333333333
"345",876,0.643920163019059,0.700424471769036,152002,"RN",0.555555555555556
"346",878,0.17983682737684,0.891234735816295,152002,"RN",0
"347",879,0.423768339290807,0.306305141365717,152002,"RN",0.222222222222222
"348",880,0.66700550283337,0.573025441094856,152002,"RN",0.444444444444444
"349",881,1,0.314583727323192,152002,"RN",0.666666666666667
"350",882,0.16105240974309,0.294758109603167,152002,"RN",0.111111111111111
"351",883,0.673924875810694,0.417057000095884,152002,"RN",0.333333333333333
"352",884,0.393055867983626,0.736508758295257,152002,"RN",0.444444444444444
"353",885,0.499603568995862,0.490601229284533,152002,"RN",0.444444444444444
"354",886,0.515939705304549,0.368724099202284,152002,"RN",0.333333333333333
"355",887,0.788135021048091,0.558530083043108,152002,"RN",0.666666666666667
"356",888,0.788135021048091,0.558530083043108,152002,"RN",0.666666666666667
"357",889,0.568075267119058,1,152002,"RN",0.777777777777778
"358",890,0.672388483026501,0.555921567406441,152002,"RN",0.222222222222222
"359",891,0.588974386277827,0.266313169943371,152002,"RN",0.333333333333333
"360",892,0.417851214540997,0.64191144113296,152002,"RN",0.222222222222222
"361",893,0.440401346864467,0.391130329260797,152002,"RN",0
"362",894,0.521438968441068,0.354533947493323,152002,"RN",0.555555555555556
"363",895,0.460906773001574,0.627203474758305,152001,"UDI",0.333333333333333
"364",896,0.732269430973391,0.814241133029371,152001,"UDI",0.222222222222222
"365",897,0.122331353786952,0.0803984135547736,152001,"UDI",0.555555555555556
"366",898,0.644597113151643,0.770888736800888,152001,"UDI",0.666666666666667
"367",899,0.917479296696365,0.518939720367832,152001,"UDI",0.444444444444444
"368",900,0.673924875810694,0.218598173159508,152001,"UDI",0.444444444444444
"369",901,0.466879911497685,0.481691911100841,152001,"UDI",0.111111111111111
"370",903,0.568075267119058,0.62653011328585,152001,"UDI",0.666666666666667
"371",904,0.470919630147194,0.353045978364874,152001,"UDI",0.111111111111111
"372",905,0.0966832321796612,0.198575128829874,152001,"UDI",0.222222222222222
"373",906,0.38748255181364,0.266313169943371,152001,"UDI",0
"374",907,0.653375807913437,0.88520726379877,152001,"UDI",0.222222222222222
"375",908,0.470919630147194,0.314583727323192,152001,"UDI",0.444444444444444
"376",909,0.201747301538302,0.512564918988293,152001,"UDI",1
"377",910,0.510815267626376,0.424154767401467,152001,"UDI",0.222222222222222
"378",911,0.536447039461996,0.335911974054511,152001,"UDI",0.222222222222222
"379",912,0.498297895350758,0.0803984135547736,152001,"UDI",1
"380",913,0.201747301538302,0.388711625403977,152001,"UDI",0.333333333333333
"381",914,0.528795071730314,0.412992195605432,152001,"UDI",0.666666666666667
"382",915,0.537476986556682,0.378761350982402,152001,"UDI",0.666666666666667
"383",916,0.403889132646507,0.741561269648791,152001,"UDI",0.333333333333333
"384",917,0.382864961569885,0.354533947493323,152001,"UDI",0.111111111111111
"385",918,0.43349693750694,0.546163672279462,152001,"UDI",0.333333333333333
"386",919,0.588974386277827,0.578103245497448,152001,"UDI",0.444444444444444
